Id_hecho,Nro_victimas,Fecha,Anio,Mes,Dia,Hora,Lugar_hecho,Tipo_calle,Calle,Cruce,Comuna,Long_x,Lat_y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Fecha_fallecimiento,Franja_horaria
2016-0054,1,2016-04-23,2016,Abril,23,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Con_cruce,8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30,2016-04-25,Noche
2016-0055,1,2016-04-25,2016,Abril,25,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL",Con_cruce,14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,79,2016-04-28,Noche
2016-0056,1,2016-04-26,2016,Abril,26,4,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",Sin_cruce,14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,26,2016-04-26,Madrugada
2016-0058,1,2016-05-04,2016,Mayo,4,14,LIMA 1471,CALLE,LIMA,Sin_cruce,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,57,2016-05-08,Tarde
2016-0059,1,2016-05-08,2016,Mayo,8,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,Con_cruce,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,37,2016-05-26,Tarde
2016-0064,1,2016-05-14,2016,Mayo,14,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",Con_cruce,10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,20,2000-01-01,Noche
2016-0065,1,2016-05-20,2016,Mayo,20,14,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,Con_cruce,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,20,2016-05-20,Tarde
2016-0067,1,2016-05-21,2016,Mayo,21,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",Con_cruce,8,-58.48455411,-34.67512760,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,FEMENINO,30,2000-01-01,Tarde
2016-0068,1,2016-05-22,2016,Mayo,22,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",Con_cruce,2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,58,2000-01-01,Noche
2016-0069,1,2016-05-23,2016,Mayo,23,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,Con_cruce,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,MASCULINO,30,2016-05-23,Madrugada
2016-0073,1,2016-06-11,2016,Junio,11,15,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",Sin_cruce,10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,23,2000-01-01,Tarde
2016-0074,1,2016-06-12,2016,Junio,12,6,AV GRAL PAZ Y RODOLFO SCAPINO,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,60,2000-01-01,Mañana
2016-0075,1,2016-06-12,2016,Junio,12,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Con_cruce,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,42,2016-06-12,Noche
2016-0076,1,2016-06-13,2016,Junio,13,16,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,Con_cruce,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,53,2016-06-13,Tarde
2016-0077,1,2016-06-13,2016,Junio,13,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",Con_cruce,1,-58.37027770,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,42,2000-01-01,Noche
2016-0078,1,2016-06-13,2016,Junio,13,23,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,Con_cruce,3,-58.40491455,-34.61463830,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30,2000-01-01,Noche
2016-0079,1,2016-06-16,2016,Junio,16,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,Con_cruce,13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,FEMENINO,51,2000-01-01,Tarde
2016-0080,1,2016-06-18,2016,Junio,18,6,AV GRAL PAZ Y AV RIVADAVIA,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,9,-58.52927982,-34.63931752,AUTO-SD,AUTO,No_data,CONDUCTOR,MASCULINO,60,2000-01-01,Mañana
2016-0081,1,2016-06-22,2016,Junio,22,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",Con_cruce,12,-58.48721060,-34.55904606,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,40,2000-01-01,Mañana
2016-0082,1,2016-06-27,2016,Junio,27,18,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,Sin_cruce,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,87,2016-07-05,Noche
2016-0083,1,2016-06-28,2016,Junio,28,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Con_cruce,6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,76,2016-06-29,Noche
2016-0084,1,2016-06-29,2016,Junio,29,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS",Con_cruce,1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,57,2016-07-08,Noche
2016-0085,1,2016-06-29,2016,Junio,29,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",Con_cruce,4,-58.42378834,-34.65734100,MOTO-MOVIL,MOTO,OTRO,No_data,MASCULINO,42,2000-01-01,Noche
2016-0086,1,2016-06-30,2016,Junio,30,16,AV OLIVERA Y RAMON FALCON,AVENIDA,OLIVERA AV.,Con_cruce,10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,75,2016-07-01,Tarde
2016-0087,1,2016-07-02,2016,Julio,3,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin_cruce,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,23,2016-07-03,Madrugada
